Elapsed_Time,Time_in_Community,Gender,Working,Age,Family,Hobbies,Social_Club,Political,Professional,Religious,Support_Group,Id
8.71,Short,M,No,53,1,0,0,0,0,0,0,1
5.24,Medium,F,No,31,0,0,0,0,0,1,1,2
4.22,Medium,M,No,42,1,1,0,0,1,0,0,3
4.81,Long,F,No,30,0,0,0,0,0,0,0,4
3.95,Long,M,Yes,29,0,0,0,1,1,0,1,5
9.35,Long,F,No,40,0,0,0,0,1,0,0,6
2.91,Medium,F,Yes,33,0,0,0,0,0,0,1,7
4.54,Medium,M,Yes,27,1,1,1,0,0,1,0,8
4.79,Short,F,No,50,1,1,0,0,1,1,0,9
3.07,Medium,M,No,28,0,0,0,0,0,1,1,10
2.2,Medium,F,No,20,1,1,0,0,1,0,0,11
2.77,Medium,F,Yes,54,1,0,1,0,0,1,0,12
7.32,Long,M,Yes,48,1,0,0,0,0,0,0,13
2.23,Short,F,Yes,48,0,0,0,0,1,0,0,14
2.13,Medium,F,No,25,1,1,1,0,0,1,0,15
7.15,Short,F,Yes,25,0,0,0,0,0,0,0,16
8.63,Long,M,Yes,38,1,0,0,0,1,1,0,17
3.77,Medium,F,Yes,34,0,0,0,0,0,0,0,18
2.2,Medium,F,Yes,32,0,0,0,0,0,1,0,19
6.52,Long,F,Yes,43,1,0,0,0,0,0,1,20
6.42,Medium,M,Yes,43,1,1,0,0,0,0,1,21
7.4,Medium,F,Yes,49,0,1,0,0,1,1,0,22
6.33,Short,F,Yes,43,0,1,0,0,1,1,0,23
4.45,Medium,M,Yes,49,1,0,1,0,1,0,0,24
6.1,Medium,M,Yes,35,1,1,0,0,0,0,0,25
3.19,Long,F,Yes,29,0,0,0,0,1,0,0,26
6.62,Short,F,No,34,0,0,0,0,1,0,1,27
8.57,Long,M,Yes,38,0,0,0,0,0,0,0,28
9.04,Medium,F,Yes,34,0,0,0,0,0,0,0,29
9.97,Short,M,No,54,1,0,1,0,0,1,0,30
8.12,Medium,M,No,41,1,0,0,0,1,0,0,31
7.96,Medium,F,Yes,52,0,1,0,0,0,1,1,32
2.95,Long,F,Yes,53,0,0,0,0,0,1,0,33
6.2,Medium,F,No,49,0,0,0,0,0,1,0,34
2.17,Long,M,Yes,49,0,1,0,0,0,1,0,35
5.85,Short,M,Yes,32,0,0,0,0,0,1,0,36
9.42,Long,M,Yes,42,0,0,0,0,0,0,0,37
2.91,Long,F,No,47,1,0,1,0,1,1,0,38
6.66,Short,F,Yes,22,0,1,0,0,0,1,0,39
7.88,Short,F,Yes,25,1,0,0,0,1,1,0,40
7.53,Long,M,No,34,1,0,1,0,0,0,1,41
5.43,Medium,M,Yes,49,1,1,0,1,1,1,0,42
5.71,Long,M,No,29,1,1,1,0,0,1,0,43
8.44,Long,F,No,42,1,0,0,0,1,0,0,44
2.42,Medium,M,Yes,35,1,1,0,0,0,0,0,45
2.67,Short,M,Yes,20,0,0,0,0,0,0,0,46
4.03,Medium,M,No,48,0,0,0,0,1,0,0,47
7.9,Long,F,Yes,42,0,0,0,0,1,0,0,48
6.44,Medium,F,No,43,0,0,0,0,0,0,0,49
8.77,Short,M,Yes,42,0,1,1,0,0,1,0,50
8.49,Long,M,No,36,0,0,0,0,1,0,0,51
7.9,Medium,M,No,28,1,0,0,0,1,0,0,52
2.3,Long,F,No,37,0,0,0,0,1,0,0,53
2.14,Medium,M,No,53,0,1,1,0,0,1,1,54
9.96,Medium,F,No,22,0,0,0,0,0,0,0,55
9.76,Long,M,Yes,31,0,0,0,0,0,1,0,56
3.17,Long,F,Yes,31,1,1,1,0,0,1,0,57
5.31,Short,M,Yes,28,0,0,0,0,0,0,0,58
9.26,Long,F,Yes,29,1,1,1,0,0,1,0,59
5.07,Long,F,No,53,0,1,0,0,0,1,0,60
5.28,Long,F,No,33,0,0,0,0,0,0,0,61
7.16,Medium,M,Yes,46,0,0,0,0,0,0,0,62
6.23,Long,M,No,20,1,1,0,0,0,0,0,63
8.63,Medium,F,No,44,0,0,0,0,0,0,0,64
5.89,Medium,M,No,41,0,0,0,0,0,1,0,65
6.26,Medium,M,No,52,1,1,1,0,1,1,1,66
